Timing,Position,Kinds,BPM,Width,RotateSpeed,TeleportX,TeleportY,TargetX,TargetY,SetScaleX,SetScaleY,ScaleX,ScaleY
,,,,,,,,,,,,,
20,0.5,2,120,2,,,,,,,,,
20,1.5,3,,2,,,,,,,,,
20,2.5,1,,1,,,,,,,,,
20,3.5,0,,3,,,,,,,,,
,,,,,,,,,,,,,
21,0.5,0,120,2,,,,,,,,,
21,1.5,2,,3,,,,,,,,,
21,2,3,,3,,,,,,,,,
21,2.5,1,,2,,,,,,,,,
21,3.5,0,,1,,,,,,,,,
,,,,,,,,,,,,,
22,0.5,2,120,2,,,,,,,,,
22,1.5,3,,2,,,,,,,,,
22,2.5,1,,1,,,,,,,,,
22,3.5,0,,3,,,,,,,,,
,,,,,,,,,,,,,
23,0.5,0,120,1,,,,,,,,,
23,1.5,2,,1,,,,,,,,,
23,2,3,,1,,,,,,,,,
23,2.5,1,,1,,,,,,,,,
23,3.5,0,,3,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
24,0.5,2,120,2,,,,,,,,,
24,1.5,3,,2,,,,,,,,,
24,2.5,1,,3,,,,,,,,,
24,3.5,0,,1,,,,,,,,,
,,,,,,,,,,,,,
25,0.5,0,120,2,,,,,,,,,
25,1,2,,3,,,,,,,,,
25,1.5,3,,3,,,,,,,,,
25,2,0,,2,,,,,,,,,
25,2.5,2,,1,,,,,,,,,
25,3,3,,1,,,,,,,,,
25,3.5,0,,3,,,,,,,,,
,,,,,,,,,,,,,
26,0.5,0,120,2,,,,,,,,,
26,1.5,0,,2,,,,,,,,,
26,2.5,0,,2,,,,,,,,,
26,3.5,0,,2,,,,,,,,,
,,,,,,,,,,,,,
27,0.5,0,120,2,,,,,,,,,
27,1.5,0,,2,,,,,,,,,
27,2.5,0,,2,,,,,,,,,
27,3.5,0,,2,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
28,0.5,2,120,2,,,,,,,,,
28,3.5,3,,2,,,,,,,,,
,,,,,,,,,,,,,
29,0.5,2,120,3,,,,,,,,,
29,3.5,3,,3,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
30,0.5,2,120,1,,,,,,,,,
30,3.5,3,,1,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
31,0.5,0,120,0.5,,,,,,,,,
31,1,2,,1,,,,,,,,,
31,1.5,3,,1,,,,,,,,,
31,2,0,,2,,,,,,,,,
31,2.5,2,,2.5,,,,,,,,,
31,3,3,,2.5,,,,,,,,,
31,3.5,0,,3,,,,,,,,,
