Timing,Position,Kinds,BPM,Width,RotateSpeed,TeleportX,TeleportY,TargetX,TargetY,SetScaleX,SetScaleY,ScaleX,ScaleY
41,2.75,0,,3,,,,,,,,,
41,3.75,0,,3,,,,,,,,,
,,,,,,,,,,,,,
42,0.75,0,240,1,,,,,,,,,
42,1.75,0,,1,,,,,,,,,
42,2.75,0,,1,,,,,,,,,
42,3.75,0,,1,,,,,,,,,
,,,,,,,,,,,,,
43,0.75,0,240,2,,,,,,,,,
43,1.75,0,,3,,,,,,,,,
43,2.75,0,,2,,,,,,,,,
43,3.75,0,,3,,,,,,,,,
,,,,,,,,,,,,,
44,0.75,0,240,3,,,,,,,,,
44,1.75,0,,2,,,,,,,,,
44,2.75,0,,3,,,,,,,,,
44,3.75,0,,2,,,,,,,,,
